Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance,Realised volatility
36,Short,2025-02-03 07:20:07+00:00,5956.75,2025-02-03 19:15:00+00:00,6042.25,Yes,-17100.0,80,25.37806823102926
37,Long,2025-02-04 03:00:03+00:00,6034.25,2025-02-04 03:00:03+00:00,6027.25,No,-1400.0,80,9.564783304229259
38,Short,2025-02-04 13:00:17+00:00,6027.25,2025-02-04 20:35:07+00:00,6058.75,No,-6300.0,80,14.527670326938352
39,Long,2025-02-04 20:35:07+00:00,6058.75,2025-02-04 20:35:07+00:00,6034.25,No,-4900.0,80,8.629237393284102
40,Short,2025-02-05 11:20:25+00:00,6034.25,2025-02-06 09:35:00+00:00,6101.25,No,-13400.0,80,22.325612649165265
41,Long,2025-02-06 09:35:00+00:00,6101.25,2025-02-06 09:35:00+00:00,6101.5,No,50.0,80,5.409175040636479
42,Short,2025-02-07 00:55:13+00:00,6101.5,2025-02-07 05:35:03+00:00,6100.25,No,250.0,80,2.2547208771300795
43,Long,2025-02-07 05:35:03+00:00,6100.25,2025-02-07 05:35:03+00:00,6068.25,No,-6400.0,80,23.851506297895977
44,Short,2025-02-10 01:20:00+00:00,6068.25,2025-02-10 17:20:00+00:00,6076.0,No,-1550.0,80,7.976463997180458
45,Long,2025-02-10 17:20:00+00:00,6076.0,2025-02-10 17:20:00+00:00,6091.5,No,3100.0,80,7.614239535962783
46,Short,2025-02-11 15:55:00+00:00,6091.5,2025-02-12 01:30:01+00:00,6091.25,No,50.0,80,5.56078450063562
47,Long,2025-02-12 01:30:01+00:00,6091.25,2025-02-12 01:30:01+00:00,6076.25,No,-3000.0,80,18.106074859025913
48,Short,2025-02-12 18:20:02+00:00,6076.25,2025-02-13 07:25:02+00:00,6083.0,No,-1350.0,80,5.949236987845407
49,Long,2025-02-13 07:25:02+00:00,6083.0,2025-02-13 07:25:02+00:00,6110.75,No,5550.0,80,12.51503537142366
50,Short,2025-02-13 16:10:03+00:00,6110.75,2025-02-14 06:05:08+00:00,6140.5,No,-5950.0,80,15.070080843014676
51,Long,2025-02-14 06:05:08+00:00,6140.5,2025-02-14 06:05:08+00:00,6137.5,No,-600.0,80,6.56158092535822
52,Short,2025-02-14 15:35:00+00:00,6137.5,2025-02-17 08:30:00+00:00,6139.0,No,-300.0,80,4.501376672478644
53,Long,2025-02-17 08:30:00+00:00,6139.0,2025-02-17 08:30:00+00:00,6153.25,No,2850.0,80,2.6253329270588317
54,Short,2025-02-18 06:55:00+00:00,6153.25,2025-02-18 11:30:00+00:00,6153.25,No,0.0,80,2.8127579246812444
55,Long,2025-02-18 11:30:00+00:00,6153.25,2025-02-18 11:30:00+00:00,6148.25,No,-1000.0,80,9.478685256099562
