Trade #,Trade Type,Opening Date,Open Price,Closing Date,Closing Price,Stop loss?,Profit,Tolerance
47,Long,2024-01-08 05:25:00,4732.0,2024-01-08 10:30:00,4716.75,Yes,-3050.0,12.5
49,Short,2024-01-08 15:45:00,4746.0,2024-01-08 16:30:00,4759.25,Yes,-2650.0,12.5
51,Long,2024-01-09 02:00:00,4797.25,2024-01-09 10:10:00,4784.0,Yes,-2650.0,12.5
53,Short,2024-01-09 17:15:00,4784.5,2024-01-09 18:05:00,4798.0,Yes,-2700.0,12.5
55,Long,2024-01-10 14:35:00,4793.0,2024-01-10 21:00:00,4826.5,No,6700.0,12.5
57,Short,2024-01-10 21:00:00,4826.5,2024-01-10 21:00:00,4827.5,No,-200.0,12.5
59,Long,2024-01-11 02:15:00,4827.5,2024-01-11 14:40:00,4814.25,Yes,-2650.0,12.5
61,Short,2024-01-11 21:20:00,4810.5,2024-01-11 21:20:00,4809.5,No,200.0,12.5
63,Long,2024-01-12 03:30:00,4809.5,2024-01-12 12:45:00,4793.5,Yes,-3200.0,12.5
65,Short,2024-01-15 04:10:00,4817.0,2024-01-15 04:10:00,4810.5,No,1300.0,12.5
67,Long,2024-01-15 09:55:00,4810.5,2024-01-16 06:55:00,4797.25,Yes,-2650.0,12.5
69,Short,2024-01-16 13:25:00,4798.25,2024-01-16 16:20:00,4811.0,Yes,-2550.0,12.5
71,Long,2024-01-16 20:35:00,4786.0,2024-01-17 01:25:00,4797.25,No,2250.0,12.5
73,Short,2024-01-17 01:25:00,4797.25,2024-01-17 01:25:00,4790.25,No,1400.0,12.5
75,Long,2024-01-17 04:10:00,4790.25,2024-01-17 07:10:00,4776.75,Yes,-2700.0,12.5
77,Short,2024-01-18 00:35:00,4770.0,2024-01-18 00:35:00,4765.75,No,850.0,12.5
79,Long,2024-01-18 05:20:00,4765.75,2024-01-18 12:50:00,4786.5,No,4150.0,12.5
81,Short,2024-01-18 12:50:00,4786.5,2024-01-18 12:50:00,4791.5,No,-1000.0,12.5
83,Long,2024-01-18 17:20:00,4791.5,2024-01-18 18:30:00,4777.0,Yes,-2900.0,12.5
85,Short,2024-01-18 22:50:00,4812.5,2024-01-18 22:50:00,4814.25,No,-350.0,12.5
87,Long,2024-01-19 05:50:00,4814.25,2024-01-19 20:10:00,4869.5,No,11050.0,12.5
89,Short,2024-01-19 20:10:00,4869.5,2024-01-22 01:50:00,4883.25,Yes,-2750.0,12.5
91,Long,2024-01-22 17:50:00,4884.75,2024-01-23 14:25:00,4888.5,No,750.0,12.5
93,Short,2024-01-23 14:25:00,4888.5,2024-01-23 14:25:00,4877.0,No,2300.0,12.5
95,Long,2024-01-23 18:30:00,4877.0,2024-01-23 21:30:00,4891.0,No,2800.0,12.5
97,Short,2024-01-23 21:30:00,4891.0,2024-01-24 00:05:00,4904.0,Yes,-2600.0,12.5
